iter	Passed	Remaining
0	0	77
1	1	69
2	2	91
3	3	78
4	3	72
5	4	67
6	4	64
7	5	61
8	5	59
9	6	57
10	6	55
11	7	53
12	7	52
13	8	51
14	8	49
15	9	48
16	9	47
17	10	46
18	10	45
19	11	44
20	11	44
21	12	43
22	12	42
23	13	41
24	13	41
25	14	40
26	14	39
27	15	39
28	15	38
29	16	38
30	16	37
31	17	37
32	18	36
33	18	35
34	19	35
35	19	34
36	20	34
37	20	33
38	21	32
39	21	32
40	22	31
41	22	30
42	22	30
43	23	29
44	23	29
45	24	28
46	24	28
47	25	27
48	25	26
49	26	26
50	26	25
51	27	25
52	27	24
53	28	24
54	28	23
55	29	22
56	29	22
57	30	21
58	30	21
59	31	20
60	31	20
61	32	19
62	33	19
63	33	18
64	34	18
65	34	17
66	35	17
67	35	16
68	36	16
69	36	15
70	37	15
71	37	14
72	38	14
73	38	13
74	39	13
75	39	12
76	40	12
77	40	11
78	41	10
79	41	10
80	42	9
81	42	9
82	43	8
83	43	8
84	44	7
85	44	7
86	45	6
87	45	6
88	46	5
89	46	5
90	47	4
91	47	4
92	48	3
93	49	3
94	49	2
95	50	2
96	50	1
97	51	1
98	51	0
99	51	0
